Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments,Sales Pressure,Flow Rate Sales,Flow Rate Flare
VRE Minerals #1,11/8/2024,0,0,0,0,0,Off,14.58,0,0
Moreland #1,11/7/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,11/7/2024,0,0,0,0,0,Off,14.58,0.34,0
Moreland #1,11/6/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/6/2024,0,0,0,0,0,Off,14.56,0.32,0
Moreland #1,11/5/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/5/2024,0,1,0,0,0,Off,33.31,0.23,0
Moreland #1,11/4/2024,0,0,0,0,0,,908.4,1125.72,
VRE Minerals #1,11/4/2024,0,1,0,0,0,Off,44.64,0.83,0
Moreland #1,11/3/2024,0,0,0,0,0,,,,
VRE Minerals #1,11/3/2024,0,1,0,0,0,Off,45.45,0.74,0
Moreland #1,11/2/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,11/2/2024,0,0,0,0,0,Off,41.05,0.69,0
Moreland #1,11/1/2024,0,0,0,0,0,Off,,,
VRE Minerals #1,11/1/2024,0,0,0,0,0,Off,24.42,0.34,0
Moreland #1,10/31/2024,0,0,0,0,23,Pumping unit being pulled off well,908.4,1125.72,
VRE Minerals #1,10/31/2024,0,0,0,0,0,,22.41,0.42,0
Moreland #1,10/30/2024,0,0,0,0,23,,908.4,1125.72,
VRE Minerals #1,10/30/2024,0,0,0,0,0,,30.18,0.41,0
Moreland #1,10/29/2024,0,0,0,0,23,,908.4,1125.72,
VRE Minerals #1,10/29/2024,0,0,0,0,0,,23.95,0.51,0
Moreland #1,10/28/2024,0,0,0,0,23,Off,908.4,1125.72,
VRE Minerals #1,10/28/2024,0,1,0,0,0,Off,41.45,0.47,0
Moreland #1,10/27/2024,0,0,0,0,23,Off,908.4,1125.72,
VRE Minerals #1,10/27/2024,0,0,0,0,0,Off,32.39,0.57,0
Moreland #1,10/26/2024,0,0,0,0,23,Off,908.4,1125.72,
VRE Minerals #1,10/26/2024,0,0,0,0,0,Off,21.82,0.39,0
Moreland #1,10/25/2024,0,0,0,0,23,Off,,,
VRE Minerals #1,10/25/2024,0,0,0,0,0,Off,21.65,0.32,0
Moreland #1,10/24/2024,0,0,0,0,23,Off,,,
VRE Minerals #1,10/24/2024,0,0,0,0,0,Pumping unit was removed,22.07,0.29,0
Moreland #1,10/23/2024,0,0,0,0,23,Off,,,
VRE Minerals #1,10/23/2024,0,0,0,0,0,Off,18.64,0.25,0
Moreland #1,10/22/2024,0,0,0,0,23,,908.4,1125.72,
VRE Minerals #1,10/22/2024,0,0,0,0,0,,13.38,0.2,0
Moreland #1,10/21/2024,0,0,0,0,23,Off,908.4,1125.72,
VRE Minerals #1,10/21/2024,0,0,0,0,0,,13.42,0.1,0
Moreland #1,10/20/2024,0,0,0,0,23,Off,908.4,1125.72,
VRE Minerals #1,10/20/2024,0,0,0,0,0,Off,13.32,0.13,0
Moreland #1,10/19/2024,0,0,0,0,23,Off,908.4,1125.72,
VRE Minerals #1,10/19/2024,0,0,0,0,0,Off,13.19,0.08,0
Moreland #1,10/18/2024,0,0,0,0,23,Started tbg on vacuum turned off,908.4,1125.72,
VRE Minerals #1,10/18/2024,0,0,0,0,0,Off,12.85,0.05,0
Moreland #1,10/17/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/17/2024,0,0,0,0,0,Off,12.91,0.06,0
Moreland #1,10/16/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,10/16/2024,0,0,0,0,0,Off,13.06,0.13,0
Moreland #1,10/15/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,10/15/2024,0,0,0,0,0,Off,13.29,0.31,0
Moreland #1,10/14/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,10/14/2024,0,0,0,0,0,Off,13.33,0.13,0
Moreland #1,10/13/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/13/2024,0,0,0,0,0,,13.19,0.25,0
Moreland #1,10/12/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/12/2024,0,0,0,0,0,,13.02,0.21,0
Moreland #1,10/11/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/11/2024,0,0,0,0,0,,13.06,0.13,0
Moreland #1,10/10/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/10/2024,0,0,0,0,0,Off,13.11,0.25,0
Moreland #1,10/9/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/9/2024,0,0,0,0,0,Off,12.98,0.23,0
Moreland #1,10/8/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/8/2024,0,0,0,0,0,Off,12.88,0.28,0
Moreland #1,10/7/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,10/7/2024,0,0,0,0,0,Off,12.81,0.23,0
Moreland #1,10/6/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,10/6/2024,0,0,0,0,0,Off,12.69,0.31,0
Moreland #1,10/5/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,10/5/2024,0,0,0,0,0,Off,12.57,0.14,0
Moreland #1,10/4/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/4/2024,0,0,0,0,0,,12.44,0.19,0
Moreland #1,10/3/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/3/2024,0,0,0,0,0,,12.46,0.25,0
Moreland #1,10/2/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/2/2024,0,0,0,0,0,,12.33,0.21,0
Moreland #1,10/1/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,10/1/2024,0,0,0,0,0,Off,12.16,0.16,0
Moreland #1,9/30/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/30/2024,0,0,0,0,0,Off,12.05,0.25,0
Moreland #1,9/29/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/29/2024,0,0,0,0,0,Off,11.86,0.27,0
Moreland #1,9/28/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/28/2024,0,0,0,0,0,Off,11.63,0.14,0
Moreland #1,9/27/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/27/2024,0,0,0,0,0,Off,11.32,0.16,0
Moreland #1,9/26/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/26/2024,0,0,0,0,0,Off,11.05,0.14,0
Moreland #1,9/25/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/25/2024,0,0,0,0,0,,10.89,0.22,0
Moreland #1,9/24/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/24/2024,0,0,0,0,0,,10.77,0.18,0
Moreland #1,9/23/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/23/2024,0,0,0,0,0,Off,10.36,0.2,0
Moreland #1,9/22/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/22/2024,0,0,0,0,0,Off,10.06,0.14,0
Moreland #1,9/21/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/21/2024,0,0,0,0,0,Off,10.59,0.25,0
Moreland #1,9/20/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/20/2024,0,0,0,0,0,Off,12.06,0.3,0
Moreland #1,9/19/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/19/2024,0,0,0,0,0,Off,15.7,0.38,0
Moreland #1,9/18/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/18/2024,0,0,0,0,0,Off,16.77,0.23,0
Moreland #1,9/17/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/17/2024,0,0,0,0,0,Off,16.15,0.22,0
Moreland #1,9/16/2024,0,0,0,20,23,,908.4,1125.72,
VRE Minerals #1,9/16/2024,0,0,0,0,0,,25.21,0.23,0
Moreland #1,9/15/2024,0,0,0,20,23,,908.4,1125.72,
VRE Minerals #1,9/15/2024,0,0,0,0,0,,25.98,0.19,0
Moreland #1,9/14/2024,0,0,0,20,23,,908.4,1125.72,
VRE Minerals #1,9/14/2024,0,0,0,0,0,,27.5,0.16,0
Moreland #1,9/13/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/13/2024,0,0,0,0,0,Off,28.17,0.09,0
Moreland #1,9/12/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/12/2024,0,0,0,0,0,Off,28.32,0.14,0
Moreland #1,9/11/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/11/2024,0,0,0,0,0,Off,28.65,0.09,0
Moreland #1,9/10/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/10/2024,0,0,0,0,0,Off,28.89,0.05,0
Moreland #1,9/9/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/9/2024,0,0,0,0,0,Off,28.79,0.05,0
Moreland #1,9/8/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,9/8/2024,0,0,0,0,0,Off,29.48,0.02,0
