Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Paddy 19 State #1 & #5,2024-03-21,2.76,0,13.75,0,0,
Palm #1,2024-03-21,0.0,0,0.0,0,0,
Preston #1,2024-03-21,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-20,33.0,86,132.0,0,0,
Blair TXL 7 #2,2024-03-20,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-20,0.0,0,0.0,0,0,
Davis Lease,2024-03-20,0.0,0,0.0,0,0,
JM Moore 178,2024-03-20,5.01,0,1.67,0,0,Venting gas 114 mcf
JM Moore 192,2024-03-20,11.69,0,140.0,0,0,
Kleimann #3,2024-03-20,0.0,0,0.0,0,0,
MCWF #1,2024-03-20,0.0,0,344.58,0,0,
Paddy 19 State #1 & #5,2024-03-20,0.0,0,13.75,0,0,
Palm #1,2024-03-20,0.0,0,0.0,0,0,
Preston #1,2024-03-20,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-19,41.25,89,126.0,0,0,
Blair TXL 7 #2,2024-03-19,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-19,1.0,0,0.0,0,0,
Davis Lease,2024-03-19,0.0,0,101.75,0,0,"Shut down #1, liner was hot and no pressure"
JM Moore 178,2024-03-19,5.01,0,1.67,0,0,Venting gas 112 mcf
JM Moore 192,2024-03-19,10.02,0,140.0,0,0,
Kleimann #3,2024-03-19,0.0,0,0.0,0,0,
MCWF #1,2024-03-19,0.0,0,100.44,0,0,
Paddy 19 State #1 & #5,2024-03-19,0.0,0,89.0,0,0,
Palm #1,2024-03-19,0.0,0,0.0,0,0,
Preston #1,2024-03-19,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-18,38.5,90,146.0,0,0,
Blair TXL 7 #2,2024-03-18,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-18,3.0,0,0.0,0,0,
Davis Lease,2024-03-18,0.0,0,0.0,0,0,Started #1
JM Moore 178,2024-03-18,5.01,0,1.67,0,0,Venting gas 110 mcf
JM Moore 192,2024-03-18,10.02,0,141.0,0,0,
Kleimann #3,2024-03-18,0.0,0,0.0,0,0,
MCWF #1,2024-03-18,0.0,0,77.24,0,0,
Paddy 19 State #1 & #5,2024-03-18,0.0,0,13.75,0,0,"Line fuse down,Harrmayer Notified. Power restored 15:05."
Palm #1,2024-03-18,0.0,0,0.0,0,0,
Preston #1,2024-03-18,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-17,38.5,88,139.0,0,0,
Blair TXL 7 #2,2024-03-17,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-17,3.0,0,0.0,0,0,
Davis Lease,2024-03-17,0.0,0,0.0,0,0,
JM Moore 178,2024-03-17,6.68,0,1.67,0,0,Venting gas 113 mcf
JM Moore 192,2024-03-17,11.69,0,140.0,0,0,
Joe #1,2024-03-17,0.0,0,0.0,0,0,
Kleimann #3,2024-03-17,0.0,0,0.0,0,0,
MCWF #1,2024-03-17,0.0,0,119.97,0,0,
Paddy 19 State #1 & #5,2024-03-17,0.0,0,59.25,0,0,
Palm #1,2024-03-17,0.0,0,0.0,0,0,
Preston #1,2024-03-17,0.0,0,0.0,0,0,
Rhodes #1,2024-03-17,0.0,0,0.0,0,0,
Vermillion #1,2024-03-17,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-16,38.5,87,137.0,0,0,
Blair TXL 7 #2,2024-03-16,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-16,6.0,0,0.0,0,0,
Davis Lease,2024-03-16,0.0,0,0.0,0,0,
JM Moore 178,2024-03-16,6.68,0,0.0,0,0,Venting gas 116 mcf
JM Moore 192,2024-03-16,10.02,0,142.0,0,0,
Joe #1,2024-03-16,0.0,0,0.0,0,0,
Kleimann #3,2024-03-16,0.0,0,0.0,0,0,
MCWF #1,2024-03-16,0.0,0,170.15,0,0,
Paddy 19 State #1 & #5,2024-03-16,0.0,0,33.0,0,0,
Palm #1,2024-03-16,0.0,0,0.0,0,0,
Preston #1,2024-03-16,0.0,0,0.0,0,0,
Rhodes #1,2024-03-16,0.0,0,0.0,0,0,
Vermillion #1,2024-03-16,0.0,0,0.0,0,0,
White Marlin #1,2024-03-16,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-15,35.75,88,132.0,0,0,
Blair TXL 7 #2,2024-03-15,5.58,12,0.0,0,0,
Blair TXL 7 #3,2024-03-15,6.0,0,0.0,0,0,
