id,name,type,capacity,multiplier,created_at,updated_at
11322,1119122,OIL,500,2.79,1489162002,1686867800
11606,1119261,OIL,500,2.79,1493931569,1687903390
11607,1119262,OIL,500,2.79,1493931569,1687587008
11608,1119263,OIL,500,2.79,1493931569,1687903391
8984,1119701,OIL,500,2.79,1467131356,1687903396
8985,1119702,OIL,500,2.79,1467131356,1687471782
17352,111995-1,OIL,500,2.79,1534423377,1615295167
17353,111995-2,OIL,500,2.79,1534423378,1615295167
8250,112636,OIL,500,2.79,1461006391,1479163701
8251,112637,OIL,500,2.79,1461006391,1479163701
8045,114596,OIL,500,2.79,1456343470,1520282936
8046,114597,OIL,500,2.79,1456343470,1520282936
8050,127760-1,OIL,300,1.64,1456344357,1520283985
8051,127760-2,OIL,300,1.64,1456344357,1520283985
6782,135516,OIL/WATER,400,1.67,1449115366,1607548910
6783,135517,OIL/WATER,400,1.67,1449115366,1607548910
5147,138021,OIL,436,2.27,1440780002,1687984982
5148,138022,OIL,436,2.27,1440780002,1687984982
12468,138141,OIL,400,1.67,1502897641,1687901768
29937,138141 Remote,OIL/WATER,400,1.67,1604785982,1687986987
12467,138142,OIL,400,1.67,1502897641,1687901767
29936,138142 Remote,OIL,400,1.67,1604785982,1676475411
12466,138143,OIL,400,1.67,1502897641,1687901767
29935,138143 Remote,OIL,400,1.67,1604785982,1676475411
12465,138144,OIL,400,1.67,1502897641,1687901767
29934,138144 Remote,OIL,400,1.67,1604785982,1676475411
12813,138151,OIL,400,1.67,1506709111,1687901795
12814,138152,OIL,400,1.67,1506709111,1687901796
12815,138153,OIL,400,1.67,1506709111,1687901795
12816,138154,OIL,400,1.67,1506709111,1687901795
13806,138158,OIL,400,1.67,1514903561,1687901809
13807,138159,OIL,400,1.67,1514903561,1687901809
13808,138160,OIL,400,1.67,1514903561,1687901809
13809,138161,OIL,400,1.67,1514903561,1686326009
11421,138162,OIL,400,1.67,1490738513,1687901802
11420,138163,OIL,400,1.67,1490738513,1687901802
11419,138164,OIL,400,1.67,1490738513,1687901802
11418,138165,OIL,400,1.67,1490738513,1687901803
14841,138166,OIL,210,1.16,1520258885,1687902662
14842,138167,OIL,210,1.16,1520258885,1687902662
20119,138168,OIL,400,1.67,1555089443,1687984992
20120,138169,OIL,400,1.67,1555089443,1687984993
20121,138170,OIL,400,1.67,1555089443,1687984993
11804,138172,OIL,400,1.67,1496243444,1687984988
11805,138173,OIL,400,1.67,1496243444,1687984988
11806,138174,OIL,400,1.67,1496243444,1687984988
11807,138175,OIL,400,1.67,1496243444,1687984988
20122,139171,OIL,400,1.67,1555089443,1687984992
18770,146129-1,OIL,300,1.67,1547046275,1569672358
18771,146129-2,OIL,300,1.67,1547046275,1569672358
7165,153116,OIL/WATER,436,2.27,1449523242,1687950566
7166,153117,OIL/WATER,436,2.27,1449523242,1687950566
7193,153119,OIL/WATER,436,2.27,1449524380,1687950570
7194,153120,OIL/WATER,436,2.27,1449524380,1687950570
6996,153803,OIL/WATER,436,2.27,1449263482,1687950545
6997,153804,OIL/WATER,436,2.27,1449263482,1687950545
7000,153809,OIL/WATER,436,2.27,1449263538,1687950546
7001,153810,OIL/WATER,436,2.27,1449263538,1687950546
7010,153814,OIL/WATER,436,2.27,1449263728,1687950550
7109,153821,OIL/WATER,436,2.27,1449272249,1687950556
21027,153827,OIL/WATER,300,1.67,1557339543,1687962515
6944,153829-1,OIL/WATER,400,1.67,1449244595,1687962512
6945,153829-2,OIL/WATER,400,1.67,1449244595,1687962513
6948,153830,OIL/WATER,400,1.67,1449244653,1683236085
7850,153831,OIL/WATER,400,1.67,1452878236,1683236085
18161,153831-1,OIL/WATER,210,1.16,1541707734,1616693924
7849,153832,OIL/WATER,400,1.67,1452878006,1687962512
6949,153833,OIL/WATER,400,1.67,1449244653,1687962511
7227,153834,OIL/WATER,400,1.67,1450213028,1683236085
6952,153835,OIL/WATER,400,1.67,1449244775,1687962514
6953,153837,OIL/WATER,400,1.67,1449244775,1687962514
7389,153838,OIL/WATER,400,1.67,1450385027,1687962512
7390,153839,OIL/WATER,400,1.67,1450385027,1687962512
6983,153840-1,OIL/WATER,436,2.27,1449263106,1687950542
6984,153840-2,OIL/WATER,436,2.27,1449263106,1687950542
7004,153843,OIL/WATER,436,2.27,1449263583,1687950546
28735,153843-2,OIL/WATER,436,2.27,1588093972,1687950546
6961,153852-1,OIL/WATER,210,1.16,1449244893,1687962516
6962,153852-2,OIL/WATER,210,1.16,1449244893,1687962515
6927,153859,OIL/WATER,400,1.67,1449244183,1687962515
7228,153863,OIL/WATER,400,1.67,1450213593,1687962513
6818,153865,OIL/WATER,400,1.67,1449170001,1687982645
6819,153866,OIL/WATER,400,1.67,1449170001,1687982645
6840,153867,OIL/WATER,210,1.16,1449178139,1597246409
6841,153868,OIL/WATER,210,1.16,1449178139,1597246409
6821,153869,OIL/WATER,210,1.16,1449170146,1596648640
6822,153870,OIL/WATER,210,1.16,1449170146,1596648640
6812,153871,OIL/WATER,436,2.27,1449169866,1578417163
6813,153872,OIL/WATER,436,2.27,1449169866,1578417163
6831,153873,OIL/WATER,436,2.27,1449170212,1633714640
6832,153874,OIL/WATER,436,2.27,1449170212,1633714640
6815,153875,OIL/WATER,436,2.27,1449169939,1641914046
6816,153876,OIL/WATER,210,1.16,1449169939,1641914046
6806,153877,OIL/WATER,300,1.67,1449169665,1534787640
7137,153897,OIL/WATER,436,2.27,1449522804,1687950544
7081,153899,OIL/WATER,436,2.27,1449271052,1687950534
7082,153900,OIL/WATER,436,2.27,1449271052,1687950534
7181,153903,OIL/WATER,436,2.27,1449523546,1687950548
7189,153907,OIL/WATER,436,2.27,1449524161,1687950569
7105,153909,OIL/WATER,436,2.27,1449272112,1687950555
7106,153910,OIL/WATER,436,2.27,1449272112,1687950554
7097,153911,OIL/WATER,436,2.27,1449271876,1687950553
7098,153912,OIL/WATER,436,2.27,1449271877,1687950554
7101,153914,OIL/WATER,436,2.27,1449271976,1687950554
7102,153915,OIL/WATER,436,2.27,1449271977,1687950554
7077,153918,OIL/WATER,436,2.27,1449270810,1687950550
7078,153919,OIL/WATER,436,2.27,1449270810,1687950550
7169,153924,OIL/WATER,436,2.27,1449523312,1687950566
7170,153925,OIL/WATER,436,2.27,1449523312,1687950566
7177,153927,OIL/WATER,436,2.27,1449523447,1687950567
7178,153928,OIL/WATER,436,2.27,1449523447,1687950568
7127,153930,OIL/WATER,436,2.27,1449522196,1687950558
7145,153934,OIL/WATER,436,2.27,1449522914,1687950561
7146,153935,OIL/WATER,436,2.27,1449522914,1687950561
7141,153936,OIL/WATER,436,2.27,1449522863,1687950560
7142,153937,OIL/WATER,436,2.27,1449522863,1687950560
7110,153940,OIL/WATER,436,2.27,1449272250,1687950556
7153,153942,OIL/WATER,436,2.27,1449523055,1687950563
7154,153943,OIL/WATER,436,2.27,1449523055,1687950563
7155,153944,OIL/WATER,436,2.27,1449523055,1687950563
7185,153947,OIL/WATER,436,2.27,1449524037,1687950568
7131,153948,OIL/WATER,436,2.27,1449522293,1687950542
10605,153948-2,OIL/WATER,436,2.27,1482183365,1687950541
7091,153949,OIL/WATER,436,2.27,1449271618,1687950553
7092,153950,OIL/WATER,436,2.27,1449271618,1687950552
7088,153952,OIL/WATER,436,2.27,1449271409,1687950552
7089,153953,OIL/WATER,436,2.27,1449271409,1687950552
7328,153954,OIL/WATER,436,2.27,1450369746,1687950552
7161,153955,OIL/WATER,436,2.27,1449523178,1687950565
7162,153956,OIL/WATER,436,2.27,1449523178,1687950565
7157,153958,OIL/WATER,436,2.27,1449523117,1687950564
7158,153959,OIL/WATER,436,2.27,1449523117,1687950564
7115,153962,OIL/WATER,436,2.27,1449521973,1687950556
7119,153964,OIL/WATER,436,2.27,1449522027,1687950558
7120,153965,OIL/WATER,436,2.27,1449522027,1687950558
6915,153969,OIL/WATER,436,2.27,1449243817,1687824658
6916,153970,OIL/WATER,436,2.27,1449243817,1687824658
6917,153971,OIL/WATER,436,2.27,1449243817,1687824658
7036,154007,OIL/WATER,436,2.27,1449265952,1687950537
7037,154008,OIL/WATER,436,2.27,1449265952,1687950537
7038,154009,OIL/WATER,436,2.27,1449265952,1687950538
7028,154010,OIL/WATER,500,2.79,1449265662,1687950536
7030,154011,OIL/WATER,500,2.79,1449265662,1687950535
7029,154012,OIL/WATER,500,2.79,1449265662,1687950536
7044,154013,OIL/WATER,436,2.27,1449266155,1687950539
7045,154014,OIL/WATER,436,2.27,1449266155,1687950539
7046,154051,OIL/WATER,436,2.27,1449266155,1687950539
7017,154052,OIL/WATER,436,2.27,1449264981,1687950551
7018,154053,OIL/WATER,436,2.27,1449264981,1687950552
7019,154054,OIL/WATER,436,2.27,1449264981,1687950551
7061,154055,OIL/WATER,436,2.27,1449266641,1687950559
7062,154056,OIL/WATER,436,2.27,1449266641,1687950559
7063,154057,OIL/WATER,436,2.27,1449266641,1687950559
7054,154058,OIL/WATER,436,2.27,1449266358,1687950556
7055,154059,OIL/WATER,436,2.27,1449266358,1687950555
7014,154060,OIL/WATER,436,2.27,1449264884,1687950531
7015,154061,OIL/WATER,436,2.27,1449264884,1687950531
7048,154062,OIL/WATER,436,2.27,1449266251,1687950540
7049,154063,OIL/WATER,436,2.27,1449266251,1687950540
7051,154064,OIL/WATER,436,2.27,1449266305,1687950540
7052,154065,OIL/WATER,436,2.27,1449266305,1687950540
7057,154066,OIL/WATER,436,2.27,1449266424,1687950541
7058,154067,OIL/WATER,436,2.27,1449266424,1687950541
7059,154068,OIL/WATER,436,2.27,1449266424,1687950541
7021,154069,OIL/WATER,436,2.27,1449265104,1687950534
7022,154070,OIL/WATER,436,2.27,1449265104,1687950533
7024,154071,OIL/WATER,436,2.27,1449265374,1687950535
7025,154072,OIL/WATER,436,2.27,1449265374,1687950535
7069,154074,OIL/WATER,436,2.27,1449266797,1687950549
7070,154075,OIL/WATER,436,2.27,1449266797,1687950549
7071,154076,OIL/WATER,436,2.27,1449266797,1687950549
7065,154077,OIL/WATER,436,2.27,1449266712,1687950547
7066,154078,OIL/WATER,436,2.27,1449266712,1687950547
6879,154080,OIL/WATER,436,2.27,1449242808,1645743768
6880,154081,OIL/WATER,436,2.27,1449242808,1645743768
6886,154083,OIL/WATER,436,2.27,1449243060,1687926620
6903,154086,OIL/WATER,436,2.27,1449243459,1687927249
6904,154087,OIL/WATER,436,2.27,1449243459,1687927249
6892,154088,OIL/WATER,400,1.67,1449243216,1687926910
6893,154089,OIL/WATER,400,1.67,1449243216,1687926910
6907,154120,OIL/WATER,436,2.27,1449243605,1687927349
6908,154121,OIL/WATER,436,2.27,1449243605,1687927350
6909,154122,OIL/WATER,436,2.27,1449243605,1687927350
6888,154123,OIL/WATER,436,2.27,1449243137,1687926770
6889,154124,OIL/WATER,436,2.27,1449243137,1687926770
6890,154125,OIL/WATER,436,2.27,1449243137,1687926770
6896,154126,OIL/WATER,436,2.27,1449243288,1687927090
6897,154127,OIL/WATER,436,2.27,1449243288,1687927090
6883,154128,OIL/WATER,436,2.27,1449242978,1687926562
6899,154129,OIL/WATER,436,2.27,1449243365,1687927190
6900,154130,OIL/WATER,436,2.27,1449243365,1687927190
6901,154131,OIL/WATER,436,2.27,1449243365,1687927191
6882,154133,OIL/WATER,436,2.27,1449242846,1687926450
6954,154300,OIL/WATER,400,1.67,1449244775,1687962514
7040,154372,OIL/WATER,436,2.27,1449266081,1687950538
7041,154373,OIL/WATER,436,2.27,1449266081,1687950538
7042,154374,OIL/WATER,436,2.27,1449266081,1687950538
7032,154375,OIL/WATER,436,2.27,1449265745,1687950537
7033,154376,OIL/WATER,436,2.27,1449265745,1687950536
7034,154377,OIL/WATER,436,2.27,1449265745,1687950536
6972,154811,OIL/WATER,436,2.27,1449262645,1687950537
7026,157043,OIL/WATER,436,2.27,1449265374,1687950535
8340,158-1,OIL,300,1.66,1461078471,1479164083
8341,158-2,OIL,300,1.67,1461078471,1479164084
7147,163934,OIL/WATER,436,2.27,1449522914,1687950561
8047,171855-01,OIL,500,2.79,1456344170,1687982200
8048,171855-02,OIL,500,2.76,1456344170,1685648761
8038,171856-01,OIL,500,2.8,1456343321,1685648762
8039,171856-02,OIL,500,2.8,1456343321,1687982201
8036,171858-01,OIL,400,1.68,1456343254,1687974845
8012,171859-01,OIL,500,2.78,1456342582,1687982202
8013,171859-02,OIL,500,2.78,1456342582,1685648764
8015,171860-01,OIL,500,2.79,1456342649,1685648765
8016,171860-02,OIL,500,2.79,1456342649,1687982201
8017,171861-01,OIL,500,2.79,1456342733,1657891544
8018,171861-02,OIL,500,2.79,1456342733,1657891544
8023,171863-01,OIL,500,2.78,1456342975,1687982202
8024,171863-02,OIL,500,2.78,1456342975,1686860851
8026,171867-01,OIL,500,2.79,1456343017,1687982202
8025,171867-02,OIL,500,2.79,1456343017,1685648763
8055,171868-01,OIL,500,2.79,1456344450,1687896166
8054,171868-02,OIL,500,2.79,1456344450,1687982202
8053,171868-03,OIL,500,2.79,1456344450,1687550087
8059,171869-01,OIL,500,2.79,1456344530,1685818241
8058,171869-02,OIL,500,2.79,1456344530,1687974845
8057,171869-03,OIL,500,2.79,1456344530,1687974846
18767,171925-01,OIL,500,2.79,1546980483,1685648763
18768,171925-02,OIL,500,2.79,1546980483,1687982203
6964,254472,OIL/WATER,500,2.79,1449261860,1687950532
6965,254473,OIL/WATER,500,2.79,1449261860,1687950532
6978,254474-1,OIL/WATER,400,1.67,1449262881,1683236087
40893,254474-2,OIL/WATER,436,2.27,1675110818,1687950541
6986,254478,OIL/WATER,436,2.27,1449263205,1687950543
6987,254479,OIL/WATER,436,2.27,1449263205,1687950543
6767,254484,OIL/WATER,436,2.27,1449114814,1535553662
6768,254485,OIL/WATER,436,2.27,1449114814,1535553662
6769,254486,OIL/WATER,436,2.27,1449114814,1535553662
6771,254490,OIL/WATER,436,2.27,1449114881,1535634725
7085,254497,OIL/WATER,436,2.27,1449271317,1633714117
7086,254498,OIL/WATER,436,2.27,1449271317,1633714117
6975,254506,OIL/WATER,436,2.27,1449262824,1660227135
6976,254507,OIL/WATER,436,2.27,1449262824,1660227135
6966,254637,OIL/WATER,436,2.27,1449261938,1687950532
6967,254638,OIL/WATER,436,2.27,1449261938,1687950533
7133,260848,OIL/WATER,436,2.27,1449522487,1687950559
7134,260849,OIL/WATER,436,2.27,1449522487,1687950559
7135,260850,OIL/WATER,436,2.27,1449522487,1687950560
4967,261000,OIL,400,1.67,1440771482,1539184435
4968,261001,OIL,400,1.67,1440771482,1539184435
4969,261002,OIL,400,1.67,1440771482,1539184435
4970,261003,OIL,400,1.67,1440771482,1539184435
5048,261004,OIL,436,2.27,1440778147,1687980070
29925,261004 Remote,OIL,436,2.27,1604686343,1665496723
5049,261005,OIL,436,2.27,1440778147,1687980070
29926,261005 Remote,OIL,436,2.27,1604686343,1665496723
5050,261006,OIL,436,2.27,1440778147,1687980070
29927,261006 Remote,OIL,436,2.27,1604686343,1665496723
5042,261007,OIL,400,1.67,1440777425,1634055098
5043,261008,OIL,400,1.67,1440777425,1634055098
4986,261011,OIL,436,2.27,1440771888,1687902664
32094,261011 Remote,OIL,436,2.27,1612935183,1665496724
4987,261012,OIL,436,2.27,1440771888,1687902664
32095,261012 Remote,OIL,436,2.27,1612935236,1665496724
5023,261015,OIL,400,1.67,1440776861,1687984975
5024,261016,OIL,400,1.67,1440776861,1687984975
5025,261017,OIL,400,1.67,1440776861,1687984975
5040,261020,OIL,436,2.27,1440777370,1620420056
5039,261021,OIL,436,2.27,1440777370,1620420056
5076,261022,OIL,436,2.27,1440778839,1620662516
5077,261023,OIL,436,2.27,1440778839,1620662516
5078,261024,OIL,436,2.27,1440778839,1620662516
5055,261025,OIL,400,1.67,1440778267,1687984993
29885,261025 Remote,OIL,400,1.67,1604594395,1665496723
5056,261026,OIL,400,1.67,1440778267,1687984993
29886,261026 Remote,OIL,400,1.67,1604594395,1665496723
5057,261027,OIL,400,1.67,1440778267,1687984994
29887,261027 Remote,OIL,400,1.67,1604594395,1665496723
5035,261028,OIL,400,1.67,1440777172,1687984985
5036,261029,OIL,400,1.67,1440777172,1687984985
5073,261034,OIL,436,2.27,1440778517,1687901766
5074,261035,OIL,436,2.27,1440778517,1687901765
5171,261039,OIL,436,2.27,1440782524,1687979895
32078,261039 Remote,OIL,436,2.27,1612934618,1665496724
5172,261040,OIL,436,2.27,1440782524,1687979896
32079,261040 Remote,OIL,436,2.27,1612934677,1665496724
5168,261114,OIL,436,2.27,1440782437,1687902653
32081,261114 Remote,OIL,436,2.27,1612934804,1665496724
5169,261115,OIL,436,2.27,1440782437,1687902653
32082,261115 Remote,OIL,436,2.27,1612934804,1665496724
4989,261132,OIL,436,2.27,1440771975,1687979634
29915,261132 Remote,OIL,436,2.27,1604683781,1665496723
4990,261133,OIL,436,2.27,1440771975,1687979634
29916,261133 Remote,OIL,436,2.27,1604683878,1665496723
4991,261134,OIL,436,2.27,1440771975,1687979634
29917,261134 Remote,OIL,436,2.27,1604683878,1665496723
4992,261135,OIL,436,2.27,1440771975,1687979634
29918,261135 Remote,OIL,436,2.27,1604683878,1665496723
5006,261409,OIL,400,1.67,1440776338,1687902667
5007,261410,OIL,400,1.67,1440776338,1687902668
5008,261411,OIL,400,1.67,1440776338,1687902668
4952,261454,OIL,400,1.67,1440770818,1687902662
4953,261455,OIL,400,1.67,1440770818,1687902661
4954,261456,OIL,400,1.67,1440770818,1687902661
4955,261457,OIL,400,1.67,1440770818,1687902661
5018,261581,OIL,400,1.67,1440776598,1687902664
32089,261581 Remote,OIL,400,1.67,1612935107,1665496724
5019,261582,OIL,400,1.67,1440776598,1687902665
32090,261582 Remote,OIL,400,1.67,1612935107,1665496724
5020,261583,OIL,400,1.67,1440776598,1687902665
32091,261583 Remote,OIL,400,1.67,1612935107,1665496724
5021,261584,OIL,400,1.67,1440776598,1687902665
32092,261584 Remote,OIL,400,1.67,1612935107,1665496724
4962,261680,OIL,400,1.67,1440771393,1634062955
4963,261681,OIL,400,1.67,1440771393,1634062955
4964,261690,OIL,400,1.67,1440771393,1634062955
4965,261691,OIL,400,1.67,1440771393,1634062955
4994,261996,OIL,400,1.67,1440772092,1687902675
15265,261996 Remote,OIL,400,1.67,1522355605,1665496723
5045,262046,OIL,436,2.27,1440777542,1687902651
32075,262046 Remote,OIL,436,2.27,1612934481,1665496724
5046,262047,OIL,436,2.27,1440777542,1687902651
32076,262047 Remote,OIL,436,2.27,1612934481,1665496724
5014,262048,OIL,400,1.67,1440776524,1687979809
29892,262048 Remote,OIL,400,1.67,1604610231,1665496723
5015,262049,OIL,400,1.67,1440776524,1687979809
29893,262049 Remote,OIL,400,1.67,1604610231,1665496723
5016,262050,OIL,400,1.67,1440776524,1687979809
29894,262050 Remote,OIL,400,1.67,1604610231,1665496723
5010,262174,OIL,400,1.67,1440776403,1687902663
5011,262175,OIL,400,1.67,1440776403,1687902663
5012,262176,OIL,400,1.67,1440776403,1687902663
4957,262231,OIL,400,1.67,1440771316,1687902659
4958,262232,OIL,400,1.67,1440771316,1687902660
4959,262233,OIL,400,1.67,1440771316,1687902659
4960,262234,OIL,400,1.67,1440771316,1687902659
5068,262397,OIL,400,1.67,1440778453,1687901799
5069,262398,OIL,400,1.67,1440778453,1687901799
5070,262399,OIL,400,1.67,1440778453,1687901800
5071,262400,OIL,400,1.67,1440778453,1687901800
5002,262436,OIL,436,2.27,1440772278,1683236090
5003,262437,OIL,436,2.27,1440772278,1687902666
29889,262437 Remote,OIL,436,2.27,1604604467,1683236090
5004,262438,OIL,436,2.27,1440772278,1687902666
29890,262438 Remote,OIL,436,2.27,1604604521,1683236090
5052,262496,OIL,400,1.67,1440778201,1620662610
5053,262497,OIL,400,1.67,1440778201,1620662610
5080,262591,OIL,400,1.67,1440778899,1687901807
5081,262592,OIL,400,1.67,1440778899,1687901806
5082,262593,OIL,400,1.67,1440778899,1687901807
5083,262594,OIL,400,1.67,1440778899,1687901807
18663,262790,OIL/WATER,400,1.67,1546898839,1552058507
5177,262790 Old,OIL/WATER,400,1.67,1440782649,1552058507
18664,262791,OIL/WATER,400,1.67,1546898888,1552058507
5178,262791 Old,OIL/WATER,400,1.67,1440782649,1552058507
5129,262954,OIL,400,1.67,1440779731,1687901791
32057,262954 Remote,OIL,400,1.67,1612903228,1665496724
5130,262955,OIL,400,1.67,1440779731,1687901791
32058,262955 Remote,OIL,400,1.67,1612903228,1665496724
5131,262956,OIL,400,1.67,1440779731,1687901790
32059,262956 Remote,OIL,400,1.67,1612903228,1665496724
5132,262957,OIL,400,1.67,1440779731,1687901791
32060,262957 Remote,OIL,400,1.67,1612903228,1665496724
5183,263166,OIL,400,1.67,1440782786,1687985050
5184,263167,OIL,400,1.67,1440782786,1687985050
4997,263173,OIL,400,1.67,1440772191,1687902656
32084,263173 Remote,OIL,400,1.67,1612934950,1665496724
4998,263174,OIL,400,1.67,1440772191,1687902656
32085,263174 Remote,OIL,400,1.67,1612934950,1665496724
4999,263175,OIL,400,1.67,1440772191,1687902656
32086,263175 Remote,OIL,400,1.67,1612934950,1665496724
5000,263182,OIL,400,1.67,1440772191,1687902656
32087,263182 Remote,OIL,400,1.67,1612934950,1665496724
4972,263239,OIL,400,1.67,1440771549,1552058554
4973,263240,OIL,400,1.67,1440771549,1552058554
4980,263287,OIL,436,2.27,1440771712,1687902655
4981,263288,OIL,436,2.27,1440771712,1687902655
4975,263791,OIL,400,1.67,1440771626,1687902666
32108,263791 Remote,OIL,400,1.67,1613058803,1665496724
4976,263792,OIL,400,1.67,1440771626,1687902667
32109,263792 Remote,OIL,400,1.67,1613058803,1665496724
4977,263793,OIL,400,1.67,1440771626,1687902666
32110,263793 Remote,OIL,400,1.67,1613058803,1665496724
4978,263794,OIL,400,1.67,1440771626,1687902667
32111,263794 Remote,OIL,400,1.67,1613058803,1665496724
5090,263903,OIL,400,1.67,1440779045,1687817669
32062,263903 Remote,OIL,400,1.67,1612904020,1665496724
5091,263904,OIL,400,1.67,1440779045,1687901794
32063,263904 Remote,OIL,400,1.67,1612904074,1665496724
5174,264110,OIL,436,2.27,1440782603,1687985049
5175,264238,OIL,436,2.27,1440782603,1687985049
5180,264266,OIL,400,1.67,1440782726,1687985051
5181,264267,OIL,400,1.67,1440782726,1687985050
5063,264291,OIL,400,1.67,1440778386,1687986489
32047,264291 Remote,OIL,400,1.67,1612899225,1665496723
5064,264292,OIL,400,1.67,1440778386,1687986489
32048,264292 Remote,OIL,400,1.67,1612899225,1665496723
5065,264293,OIL,400,1.67,1440778386,1687986489
32049,264293 Remote,OIL,400,1.67,1612899225,1665496723
5066,264294,OIL,400,1.67,1440778386,1687986489
32050,264294 Remote,OIL,400,1.67,1612899225,1665496723
5093,264628,OIL,400,1.67,1440779114,1687901796
32065,264628 Remote,OIL,400,1.67,1612906338,1665496724
5094,264629,OIL,400,1.67,1440779114,1687901796
32066,264629 Remote,OIL,400,1.67,1612906338,1665496724
5095,264630,OIL,400,1.67,1440779114,1687901797
32067,264630 Remote,OIL,400,1.67,1612906338,1665496724
5143,264756,OIL,400,1.67,1440779947,1661214522
5144,264757,OIL,400,1.67,1440779947,1661214522
5145,264758,OIL,400,1.67,1440779947,1661214522
5027,264820,OIL,400,1.67,1440776947,1687984977
5028,264821,OIL,400,1.67,1440776947,1687984978
5029,264822,OIL,400,1.67,1440776947,1687984978
4995,264997,OIL,400,1.67,1440772092,1687902674
5097,265138,OIL,400,1.67,1440779173,1687901784
32097,265138 Remote,OIL,400,1.67,1612990212,1665496433
5098,265139,OIL,400,1.67,1440779173,1687901786
32098,265139 Remote,OIL,400,1.67,1612990212,1665496433
5099,265140,OIL,400,1.67,1440779173,1687901785
32099,265140 Remote,OIL,400,1.67,1612990212,1665496433
5101,265331,OIL,400,1.67,1440779257,1687901798
5102,265332,OIL,400,1.67,1440779257,1687901798
20452,265332 Remote,OIL,400,1.67,1557243277,1665496723
5103,265333,OIL,400,1.67,1440779257,1687901799
5059,265609,OIL,436,2.27,1440778328,1673476997
5060,265610,OIL,436,2.27,1440778328,1673476997
5061,265611,OIL,436,2.27,1440778328,1673476996
5110,265839,OIL,400,1.67,1440779424,1552058636
5111,265840,OIL,400,1.67,1440779424,1552058636
5112,265841,OIL,400,1.67,1440779424,1552058636
5119,268918,OIL,400,1.67,1440779602,1687981906
32052,268918 Remote,OIL,400,1.67,1612902395,1665496724
5120,268919,OIL,400,1.67,1440779602,1687981906
32053,268919 Remote,OIL,400,1.67,1612902395,1665496724
5121,268920,OIL,400,1.67,1440779602,1687981906
32054,268920 Remote,OIL,400,1.67,1612902436,1665496724
5122,268921,OIL,400,1.67,1440779602,1687981906
32055,268921 Remote,OIL,400,1.67,1612902436,1665496724
5105,268922,OIL,400,1.67,1440779367,1687901798
15260,268922 remote,OIL,400,1.67,1522355531,1665496723
5106,268923,OIL,400,1.67,1440779367,1687901797
15261,268923 remote,OIL,400,1.67,1522355531,1665496723
5107,268924,OIL,400,1.67,1440779367,1687901797
