Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
JM Moore,2024-09-26,55.0,0.0,1081.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-26,7.0,0.0,100.0,50,50,
Mueller #1,2024-09-26,0.0,0.0,6.0,1500,0,Opened well
Pratka #1,2024-09-26,2.0,39.0,2.0,775,0,
CL Moore 12,2024-09-25,10.0,0.0,400.0,25,25,
Dyer 'D' #5,2024-09-25,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-25,54.0,0.0,1106.0,50,50,192: C.t. 178: Venting gas 112 mcf
Lottie #1,2024-09-25,7.0,0.0,138.0,50,50,C.t.
Mueller #1,2024-09-25,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-25,3.0,48.0,3.0,775,0,
CL Moore 12,2024-09-24,0.0,0.0,0.0,25,25,Well turned well on 3:30 pm
Dyer 'D' #5,2024-09-24,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-24,49.0,0.0,1070.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-09-24,8.0,0.0,136.0,50,50,
Mueller #1,2024-09-24,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-24,2.0,44.0,3.0,775,0,
CL Moore 12,2024-09-23,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-23,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-23,53.0,0.0,1057.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-23,8.0,0.0,129.0,50,50,
Mueller #1,2024-09-23,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-23,2.0,31.0,3.0,800,0,
CL Moore 12,2024-09-22,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-22,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-22,48.0,0.0,1118.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-09-22,10.0,0.0,132.0,50,50,
Mueller #1,2024-09-22,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-22,2.0,48.0,3.0,800,0,
CL Moore 12,2024-09-21,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-21,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-21,50.0,0.0,1066.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-21,10.0,0.0,127.0,50,50,
Mueller #1,2024-09-21,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-21,3.0,52.0,3.0,800,0,
CL Moore 12,2024-09-20,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-20,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-20,54.0,0.0,1023.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-09-20,8.0,0.0,130.0,50,50,
Mueller #1,2024-09-20,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-20,2.0,45.0,2.0,800,0,
CL Moore 12,2024-09-19,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-19,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-19,52.0,0.0,1065.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-09-19,10.0,0.0,120.0,50,50,
Mueller #1,2024-09-19,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-19,2.0,39.0,3.0,800,0,
CL Moore 12,2024-09-18,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-18,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-18,57.0,0.0,996.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-18,10.0,0.0,122.0,50,50,
Mueller #1,2024-09-18,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-18,2.0,37.0,2.0,800,0,
CL Moore 12,2024-09-17,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-17,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-17,53.0,0.0,1017.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-09-17,8.0,0.0,130.0,50,50,
Mueller #1,2024-09-17,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-17,2.0,35.0,3.0,800,0,
CL Moore 12,2024-09-16,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-16,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-16,55.0,0.0,1147.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-16,8.0,0.0,127.0,50,50,
Mueller #1,2024-09-16,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-16,2.0,38.0,2.0,800,0,
CL Moore 12,2024-09-15,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-15,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-15,53.0,0.0,844.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-09-15,8.0,0.0,122.0,50,50,
Mueller #1,2024-09-15,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-15,2.0,29.0,3.0,800,0,
CL Moore 12,2024-09-14,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-14,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-14,53.0,0.0,793.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-14,8.0,0.0,120.0,50,50,
Mueller #1,2024-09-14,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-14,2.0,29.0,2.0,800,0,
CL Moore 12,2024-09-13,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-13,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-13,59.0,0.0,993.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-09-13,7.0,0.0,125.0,50,50,
Mueller #1,2024-09-13,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-13,2.0,30.0,2.0,800,0,
CL Moore 12,2024-09-12,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-12,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-12,51.0,0.0,994.0,50,50,192: C.t. Yest 178: Venting gas 114 mcf
Lottie #1,2024-09-12,7.0,0.0,126.0,50,50,C.t.yest
Mueller #1,2024-09-12,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-12,2.0,34.0,2.0,800,0,
CL Moore 12,2024-09-11,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-11,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-11,58.0,0.0,1008.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-11,7.0,0.0,129.0,50,50,
Mueller #1,2024-09-11,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-11,2.0,31.0,3.0,800,0,
CL Moore 12,2024-09-10,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-10,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-10,60.0,0.0,1269.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-09-10,8.0,0.0,127.0,50,50,
Mueller #1,2024-09-10,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-10,2.0,35.0,2.0,800,0,
CL Moore 12,2024-09-09,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-09,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-09,58.0,0.0,1040.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-09,7.0,0.0,126.0,50,50,
Mueller #1,2024-09-09,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-09,2.0,30.0,2.0,800,0,
CL Moore 12,2024-09-08,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-08,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-08,62.0,0.0,1068.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-09-08,8.0,0.0,131.0,50,50,
Mueller #1,2024-09-08,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-08,2.0,36.0,3.0,800,0,
CL Moore 12,2024-09-07,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-07,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-07,63.0,0.0,1070.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-09-07,7.0,0.0,127.0,50,50,
Mueller #1,2024-09-07,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-07,2.0,45.0,3.0,800,0,
CL Moore 12,2024-09-06,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-06,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-06,66.0,0.0,1208.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-09-06,8.0,0.0,129.0,50,50,
Mueller #1,2024-09-06,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-06,2.0,34.0,2.0,800,0,
CL Moore 12,2024-09-05,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-05,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-05,62.0,0.0,1231.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-09-05,8.0,0.0,125.0,50,50,
Mueller #1,2024-09-05,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-05,2.0,33.0,3.0,800,0,
CL Moore 12,2024-09-04,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-04,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-04,69.0,0.0,884.0,50,50,192: C.t. 178: Venting gas 115 mcf
Lottie #1,2024-09-04,17.0,0.0,120.0,50,50,C.t.
Mueller #1,2024-09-04,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-04,0.0,28.0,2.0,800,0,
CL Moore 12,2024-09-03,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-03,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-03,51.0,0.0,1117.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-09-03,5.0,0.0,129.0,50,50,
Mueller #1,2024-09-03,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-03,2.0,46.0,2.0,800,0,
CL Moore 12,2024-09-02,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-02,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-02,60.0,0.0,958.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-09-02,5.0,0.0,100.0,50,50,
Mueller #1,2024-09-02,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-02,2.0,36.0,3.0,800,0,
CL Moore 12,2024-09-01,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-09-01,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-09-01,61.0,0.0,1068.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-09-01,5.0,0.0,137.0,50,50,
Mueller #1,2024-09-01,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-09-01,0.0,31.0,3.0,800,0,
CL Moore 12,2024-08-31,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-31,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-31,56.0,0.0,1021.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-08-31,8.0,0.0,142.0,50,50,
Mueller #1,2024-08-31,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-31,2.0,39.0,3.0,800,0,
CL Moore 12,2024-08-30,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-30,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-30,53.0,0.0,1016.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-08-30,10.0,0.0,131.0,50,50,
Mueller #1,2024-08-30,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-30,2.0,40.0,3.0,800,0,
CL Moore 12,2024-08-29,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-29,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-29,60.0,0.0,1176.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-08-29,10.0,0.0,126.0,50,50,
Mueller #1,2024-08-29,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-29,2.0,36.0,2.0,800,0,
CL Moore 12,2024-08-28,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-28,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-28,55.0,0.0,1010.0,50,50,192: C.t. 178: Venting gas 115 mcf
Lottie #1,2024-08-28,7.0,0.0,122.0,50,50,C.t.
Mueller #1,2024-08-28,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-28,2.0,42.0,3.0,800,0,
CL Moore 12,2024-08-27,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-27,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-27,46.0,0.0,1017.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-08-27,7.0,0.0,130.0,50,50,
Mueller #1,2024-08-27,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-27,2.0,50.0,2.0,800,0,
CL Moore 12,2024-08-26,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-26,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-26,54.0,0.0,1106.0,50,50,192:  178: Venting gas 115 mcf
