Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
Mueller #1,710.0,57107.0,1329.0,44650.0,0.0,2005-06-01
Lottie #1,662.0,0.0,3980.0,750.0,0.0,2005-06-01
Dyer 'D' #5,101.0,9327.0,173.0,5520.0,0.0,2005-06-01
Gulf Coast Total,9386.0,68394.0,56298.0,50920.0,0.0,2005-06-01
JM Moore,5702.0,1815.0,25981.0,0.0,0.0,2005-06-01
Gulf Coast Total,7807.0,61682.0,54741.0,43930.0,0.0,2005-07-01
Dyer 'D' #5,96.0,9259.0,218.0,5230.0,0.0,2005-07-01
CL Moore 12,1426.0,0.0,17736.0,0.0,0.0,2005-07-01
Mueller #1,520.0,49417.0,1337.0,38025.0,0.0,2005-07-01
JM Moore,5255.0,3006.0,31746.0,0.0,0.0,2005-07-01
Lottie #1,510.0,0.0,3704.0,675.0,0.0,2005-07-01
Gulf Coast Total,7925.0,59860.0,55897.0,32780.0,0.0,2005-08-01
Dyer 'D' #5,134.0,10012.0,191.0,5400.0,0.0,2005-08-01
JM Moore,5458.0,3285.0,31892.0,0.0,0.0,2005-08-01
Mueller #1,513.0,46439.0,1533.0,26630.0,0.0,2005-08-01
Lottie #1,616.0,0.0,3857.0,750.0,0.0,2005-08-01
CL Moore 12,1204.0,124.0,18424.0,0.0,0.0,2005-08-01
JM Moore,4067.0,2150.0,25282.0,0.0,0.0,2005-09-01
CL Moore 12,1718.0,102.0,21156.0,0.0,0.0,2005-09-01
Mueller #1,343.0,31127.0,975.0,19170.0,0.0,2005-09-01
Dyer 'D' #5,76.0,6959.0,159.0,6130.0,0.0,2005-09-01
Lottie #1,499.0,0.0,3296.0,625.0,0.0,2005-09-01
Gulf Coast Total,6703.0,40338.0,50868.0,25925.0,0.0,2005-09-01
CL Moore 12,1899.0,114.0,23331.0,0.0,0.0,2005-10-01
Dyer 'D' #5,127.0,9781.0,161.0,8260.0,0.0,2005-10-01
JM Moore,5517.0,3427.0,33561.0,0.0,0.0,2005-10-01
Mueller #1,381.0,42064.0,1230.0,24900.0,0.0,2005-10-01
Gulf Coast Total,8410.0,55386.0,62205.0,33935.0,0.0,2005-10-01
Lottie #1,486.0,0.0,3922.0,775.0,0.0,2005-10-01
Lottie #1,418.0,0.0,3225.0,650.0,0.0,2005-11-01
CL Moore 12,3472.0,0.0,30649.0,0.0,0.0,2005-11-01
Dyer 'D' #5,104.0,9147.0,181.0,7940.0,0.0,2005-11-01
Mueller #1,371.0,36018.0,1025.0,19380.0,0.0,2005-11-01
Gulf Coast Total,9754.0,47583.0,67347.0,27970.0,0.0,2005-11-01
JM Moore,5389.0,2418.0,32267.0,0.0,0.0,2005-11-01
Gulf Coast Total,9257.0,40836.0,63922.0,29455.0,0.0,2005-12-01
Mueller #1,393.0,29776.0,852.0,19590.0,0.0,2005-12-01
Lottie #1,496.0,0.0,3556.0,775.0,0.0,2005-12-01
JM Moore,5297.0,2146.0,33854.0,0.0,0.0,2005-12-01
CL Moore 12,2946.0,0.0,25498.0,0.0,0.0,2005-12-01
Dyer 'D' #5,125.0,8914.0,162.0,9090.0,0.0,2005-12-01
Gulf Coast Total,8701.0,40487.0,61105.0,24345.0,0.0,2006-01-01
CL Moore 12,2738.0,0.0,23204.0,0.0,0.0,2006-01-01
Dyer 'D' #5,96.0,9166.0,160.0,10090.0,0.0,2006-01-01
Mueller #1,365.0,29481.0,1089.0,13480.0,0.0,2006-01-01
Lottie #1,495.0,0.0,3371.0,775.0,0.0,2006-01-01
JM Moore,5007.0,1840.0,33281.0,0.0,0.0,2006-01-01
Dyer 'D' #5,68.0,5230.0,60.0,17360.0,0.0,2006-02-01
JM Moore,4267.0,1856.0,29362.0,0.0,0.0,2006-02-01
Gulf Coast Total,7210.0,32813.0,53764.0,25230.0,0.0,2006-02-01
Lottie #1,285.0,0.0,2651.0,550.0,0.0,2006-02-01
CL Moore 12,2289.0,0.0,20475.0,0.0,0.0,2006-02-01
Mueller #1,301.0,25727.0,1216.0,7320.0,0.0,2006-02-01
Gulf Coast Total,8385.0,38534.0,62374.0,22995.0,0.0,2006-03-01
JM Moore,4659.0,1671.0,32800.0,0.0,0.0,2006-03-01
CL Moore 12,2741.0,0.0,24240.0,0.0,0.0,2006-03-01
Dyer 'D' #5,127.0,9703.0,96.0,14610.0,0.0,2006-03-01
Lottie #1,574.0,0.0,3912.0,775.0,0.0,2006-03-01
Mueller #1,284.0,27160.0,1326.0,7610.0,0.0,2006-03-01
Mueller #1,232.0,22455.0,1047.0,5840.0,0.0,2006-04-01
Gulf Coast Total,7330.0,34731.0,57982.0,17540.0,0.0,2006-04-01
Dyer 'D' #5,107.0,8258.0,84.0,11000.0,0.0,2006-04-01
Lottie #1,484.0,0.0,3627.0,700.0,0.0,2006-04-01
JM Moore,4174.0,4018.0,31779.0,0.0,0.0,2006-04-01
CL Moore 12,2333.0,0.0,21445.0,0.0,0.0,2006-04-01
Mueller #1,232.0,23547.0,1053.0,5870.0,0.0,2006-05-01
Lottie #1,437.0,0.0,3848.0,650.0,0.0,2006-05-01
Gulf Coast Total,7546.0,38525.0,61422.0,15760.0,0.0,2006-05-01
Dyer 'D' #5,155.0,10108.0,87.0,9240.0,0.0,2006-05-01
JM Moore,4322.0,4870.0,33071.0,0.0,0.0,2006-05-01
CL Moore 12,2400.0,0.0,23363.0,0.0,0.0,2006-05-01
Lottie #1,251.0,0.0,3120.0,650.0,0.0,2006-06-01
Dyer 'D' #5,123.0,10767.0,98.0,6700.0,0.0,2006-06-01
JM Moore,4294.0,3894.0,33115.0,0.0,0.0,2006-06-01
Gulf Coast Total,6920.0,36094.0,59718.0,12650.0,0.0,2006-06-01
CL Moore 12,2057.0,0.0,22340.0,0.0,0.0,2006-06-01
Mueller #1,195.0,21433.0,1045.0,5300.0,0.0,2006-06-01
Dyer 'D' #5,111.0,10351.0,94.0,5490.0,0.0,2006-07-01
Gulf Coast Total,7532.0,37302.0,60390.0,12670.0,0.0,2006-07-01
JM Moore,4288.0,5771.0,34319.0,0.0,0.0,2006-07-01
Mueller #1,188.0,21180.0,1043.0,6455.0,0.0,2006-07-01
Lottie #1,468.0,0.0,3477.0,725.0,0.0,2006-07-01
CL Moore 12,2477.0,0.0,21457.0,0.0,0.0,2006-07-01
Mueller #1,226.0,21077.0,1082.0,4870.0,0.0,2006-08-01
Dyer 'D' #5,103.0,9050.0,82.0,9260.0,0.0,2006-08-01
JM Moore,4370.0,4790.0,34273.0,0.0,0.0,2006-08-01
Gulf Coast Total,7691.0,34917.0,62203.0,14880.0,0.0,2006-08-01
Lottie #1,545.0,0.0,3871.0,750.0,0.0,2006-08-01
CL Moore 12,2447.0,0.0,22895.0,0.0,0.0,2006-08-01
Gulf Coast Total,6629.0,32933.0,56908.0,12310.0,0.0,2006-09-01
Lottie #1,131.0,0.0,1379.0,275.0,0.0,2006-09-01
Mueller #1,169.0,19399.0,934.0,5725.0,0.0,2006-09-01
Dyer 'D' #5,113.0,9472.0,81.0,6310.0,0.0,2006-09-01
JM Moore,3635.0,4062.0,30959.0,0.0,0.0,2006-09-01
CL Moore 12,2581.0,0.0,23555.0,0.0,0.0,2006-09-01
Mueller #1,167.0,20135.0,1101.0,5050.0,0.0,2006-10-01
Gulf Coast Total,6608.0,34619.0,55708.0,12590.0,0.0,2006-10-01
Lottie #1,196.0,0.0,2493.0,720.0,0.0,2006-10-01
JM Moore,3728.0,4880.0,29090.0,0.0,0.0,2006-10-01
CL Moore 12,2402.0,0.0,22913.0,0.0,0.0,2006-10-01
Dyer 'D' #5,115.0,9604.0,111.0,6820.0,0.0,2006-10-01
Gulf Coast Total,6423.0,32630.0,59484.0,13770.0,0.0,2006-11-01
JM Moore,3326.0,4849.0,31230.0,0.0,0.0,2006-11-01
CL Moore 12,2461.0,0.0,23440.0,0.0,0.0,2006-11-01
Dyer 'D' #5,101.0,9163.0,96.0,7990.0,0.0,2006-11-01
Mueller #1,170.0,18618.0,977.0,5120.0,0.0,2006-11-01
Lottie #1,365.0,0.0,3741.0,660.0,0.0,2006-11-01
JM Moore,2752.0,5633.0,31850.0,0.0,0.0,2006-12-01
Gulf Coast Total,5944.0,34622.0,60645.0,12365.0,0.0,2006-12-01
Mueller #1,211.0,19385.0,995.0,5235.0,0.0,2006-12-01
Dyer 'D' #5,170.0,9604.0,86.0,6320.0,0.0,2006-12-01
CL Moore 12,2346.0,0.0,23920.0,0.0,0.0,2006-12-01
Lottie #1,465.0,0.0,3794.0,810.0,0.0,2006-12-01
Gulf Coast Total,5920.0,33329.0,58626.0,10595.0,0.0,2007-01-01
Dyer 'D' #5,134.0,9579.0,83.0,4770.0,0.0,2007-01-01
JM Moore,2903.0,5839.0,30416.0,0.0,0.0,2007-01-01
CL Moore 12,2189.0,0.0,22918.0,0.0,0.0,2007-01-01
Lottie #1,516.0,0.0,4203.0,780.0,0.0,2007-01-01
Mueller #1,178.0,17911.0,1006.0,5045.0,0.0,2007-01-01
Dyer 'D' #5,105.0,7885.0,64.0,3880.0,0.0,2007-02-01
Lottie #1,513.0,0.0,3883.0,840.0,0.0,2007-02-01
JM Moore,3719.0,6516.0,30895.0,0.0,0.0,2007-02-01
Mueller #1,143.0,15576.0,881.0,4230.0,0.0,2007-02-01
Gulf Coast Total,5256.0,29977.0,42107.0,8950.0,0.0,2007-02-01
CL Moore 12,776.0,0.0,6384.0,0.0,0.0,2007-02-01
Gulf Coast Total,7260.0,32177.0,57836.0,13600.0,0.0,2007-03-01
JM Moore,4057.0,7243.0,29527.0,0.0,0.0,2007-03-01
Dyer 'D' #5,106.0,7788.0,75.0,5340.0,0.0,2007-03-01
Mueller #1,177.0,17146.0,915.0,7360.0,0.0,2007-03-01
