API14,Well Name,Well Number
42185307800000,KAGG,2
42185307750000,KAGG,1
42185307690000,RUEN,1
42185307670000,MYRTLE,1
42185307650000,WILLIE,1
42185307620000,ISBELL,1
42185307590000,WILLIAM,1
42185307560100,R.B. CLARY,1
42185307560000,R.B. CLARY,1
42185307510000,BEAL,1
42185307460000,RA,1
42185307440000,NEVILL,1
42185307340000,WHITE-SPRINGER,1
42185306880000,ZINGARA,3
42185306790300,KNOTTS-YEAGER UNIT,1
42185306790200,KNOTTS-YEAGER UNIT,1
42185306790100,KNOTTS-YEAGER UNIT,1
42185306790000,KNOTTS-YEAGER UNIT,1
42185306419000,KNOTTS UNIT,1H
42185306410500,KNOTTS UNIT,1H
42185306410400,KNOTTS UNIT,1H
42185306410300,KNOTTS UNIT,1H
42185306410200,KNOTTS UNIT,1H
42185306410100,KNOTTS UNIT,1H
42185306410000,KNOTTS UNIT,1H
42185305190100,IOLA-BLAGRAVES UNIT,1H
42185305190000,IOLA-BLAGRAVES UNIT,1H
42185304330300,MCDUFFIE UNIT #1,1
42185304330200,MCDUFFIE UNIT #1,1
42185304330100,MCDUFFIE UNIT #1,1
42185304330000,MCDUFFIE UNIT #1,1
42185304320200,NEVILL-BEAL UNIT,1
42185304320100,NEVILL-BEAL UNIT,1
42185304320000,NEVILL-BEAL UNIT,1
42185302210300,OZELLE DAVIS UNIT,1H
42185302210200,OZELLE DAVIS UNIT,1H
42185302210100,OZELLE DAVIS UNIT,1H
42185302210001,OZELLE DAVIS UNIT,1H
42185302210000,OZELLE DAVIS UNIT,1H
42177325860100,ANHAISER,1
42177325860000,ANHAISER,1
42175341700001,ETTA,1
42175341700000,ETTA,1
42175341540001,TERRELL,1
42175341540000,TERRELL,1
42175339560000,STANGE,1D
42175338900000,CARBAJAL-DIEBEL GAS UNIT,1
42169342590000,DAVIS,3
42169342550000,LAH,1
42169339310000,JOHN UNIT WATERFLOOD,28
42169339140000,"DAVIS ""44""",1
42169338060100,JOHN UNIT WATERFLOOD,27
42169338060000,JOHN UNIT WATERFLOOD,27
42169337080000,LOTT-DAVIS,1
42169336750000,KIM,5
42169336340000,EAST LOTT,3X
42169336240000,"KOONSMAN ""5""",1
42169336150000,EAST LOTT,2
42169336010000,JOHN UNIT WATERFLOOD,21S
42169336000000,BROTHERS HORIZON,6
42169335790000,JOHN UNIT WATERFLOOD,24
42169335770000,KIM,3
42169335659000,"SLAUGHTER ""B""",5X
42169335650100,"SLAUGHTER ""B""",5X
42169335650000,"SLAUGHTER ""B""",5X
42169335620000,JOHN UNIT WATERFLOOD,22
42169335590100,JOHN UNIT WATERFLOOD,23
42169335590000,JOHN UNIT WATERFLOOD,23
42169335570000,KIM,2
42169335540000,JOHN UNIT WATERFLOOD,19
42169335530000,JOHN UNIT WATERFLOOD,20
42169335500000,"SLAUGHTER ""B""",2
42169335440000,"SLAUGHTER ""B""",1
42169335420000,"JOHN ""B""",1
42169335400000,KIM,1
42169335380000,EAST LOTT,1
42169335280000,JOHN UNIT WATERFLOOD,17
42169335230001,JOHN UNIT WATERFLOOD,18
42169335230000,JOHN UNIT WATERFLOOD,18
42169335210000,BROTHERS-HORIZON UNIT,1
42169335190000,JOHN UNIT WATERFLOOD,10
42169335180000,JOHN UNIT WATERFLOOD,16
42169335120000,JOHN UNIT WATERFLOOD,9
42169335110001,PLK,3105
42169335110000,PLK,3105
