Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D),Plunger OD (in),Adjusted EPT (in),Effective Plunger Travel (in)
11/28/2023,12:06:17 PM,Beeler Ranch #1,6007,12/09/2021,C-456D-365-120,5.33,112.47,109,,,103,,106.4,112.01
11/28/2023,12:20:29 PM,Beeler Ranch #1,6007,12/09/2021,C-456D-365-120,,,,282,1263,,,,
01/17/2024,02:32:52 PM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,6.51,102.71,173,,,160,,93.4,101.09
01/17/2024,02:48:03 PM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,,,,565,2509,,,,
01/24/2024,01:25:28 PM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,6.44,103.23,181,,,167,,87.2,94.37
01/24/2024,01:29:06 PM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,,,,3241,3241,,,,
04/24/2024,11:36:18 AM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,5.39,93.93,129,,,117,,77.0,84.48
04/24/2024,11:39:40 AM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,,,,2949,3248,,,,
04/30/2024,08:20:23 AM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,,,,2630,2630,,,,
04/30/2024,12:09:36 PM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,,,,2613,2613,,,,
04/30/2024,12:16:33 PM,Beeler Ranch #1,6997,01/11/2024,C-456D-365-120,5.94,96.77,147,,,136,,87.0,94.49
06/10/2024,04:03:32 PM,Beeler Unit F -19H,0,06/10/2024,,,,,,,,,,
08/09/2023,11:11:25 AM,Bermuda#1,5975,12/14/2017,C-320-256-120,6.05,71.55,30,,,19,,17.1,27.45
08/09/2023,11:24:57 AM,Bermuda#1,5975,12/14/2017,C-320-256-120,,,,313,313,,,,
08/02/2023,11:15:15 AM,Bigsonny#1,6214,12/01/2021,C-320-305-120,,,,267,267,,,,
04/05/2023,12:48:38 PM,Blackmon#1,6398,08/14/2018,C-320-305-120,5.56,75.89,35,,,22,,22.1,34.06
04/05/2023,01:02:39 PM,Blackmon#1,6398,08/14/2018,C-320-305-120,,,,176,672,,,,
08/02/2023,10:20:33 AM,BlasReyes#1,6583,03/13/2018,C-320-305-120,,,,101,101,,,,
03/28/2024,04:51:28 PM,
03/28/2024,04:51:28 PM,
