Well Name,Completion Total,% Payout
Kiley #1,4070987.33,1.8819904860896834
Kincaid #1,3690140.1100000003,0.03277755481892517
Kirby #1,2878664.9,0.4187198535724083
Kleimann #1,3387046.6500000004,3.0508589112732563
Kleimann #3,2776598.4899999998,0.31667451105900457
LT #1,1917035.95,0.24711746732906043
La Rosita #1,7521244.6,0.36762217255265167
Lackey Five #1,2990233.42,1.4446845126890329
Lamb #1,5768581.8100000005,0.06491868181020671
Lander #1,4996249.18,1.035412007400717
Lansford #1,2147862.75,0.47548304111627393
Leary Trust #1,3042117.59,1.8454472145026395
Lisa #1,3194372.35,0.35409809776811435
Little 179 #1,3183245.0700000003,1.9598049815260519
Lochte #1,2531721.98,0.7918368623023455
MDB #1,2773400.7199999997,1.0408914818994426
Margurite #1,2857074.7800000003,1.2181079869474971
Marpick #1,2832127.12,1.0620210325658863
Marrs #1,4606187.859999999,1.3914814486454041
McLean #1,2430980.26,1.8519541906320192
Mitchell #1,10641.04,1.0907431882664913
Molak #1,2793498.78,1.418294070079389
Montemayor #1,2847799.77,0.3755329734164134
Moreland #1,2755562.43,0.7935687666231495
Mustang Ranch #1,4316882.9799999995,0
Opa #1,1871750.4700000002,0.6853053914064486
PC #1,3313570.58,0.8090367606348962
Palm #1,3499229.6500000004,1.7148899853685409
Palm Cattle #1,599611.47,0.5169704860289075
Parkway #1,4834753.56,2.5309393364935864
Pecan Grove #1,4353335.42,0.2992557159224767
Pfeiffer #1,3241188.2199999997,0.027171506828136557
Pfeiffer #2 Re,25348.52,0.33718421849095165
Pfeiffer RE #1,1696580.01,0.5608693235827329
Pickens #1,2767427.57,2.549824338484039
Pickens #2H,318246.26,0.10237353192330546
Pickens Weaver #1,3782933.46,1.1756819370577283
Pickwill #1,3258693.9699999997,3.3783406575879
Prestage #1,2550526.33,0.1352482303787882
Preston #1,2877155.56,0.45716796910968777
Pritchett #1,838628.1199999999,0.14880931055522736
Project Total,186237379.65,1.4403376860018808
Project Total,51040338.92000001,0.2750497845203232
Project Total,139749047.27999997,0.8465194824675394
Project Total,144073179.71999994,1.0099421291672557
RAB #1,4559992.02,1.0216793355666307
RAB #2,4618037.99,1.3620869172638588
RAB #3,5620522.540000001,1.0121610282577191
RAB #4,243292.7,0
Rhodes #1,2788223.04,0.30789853176009907
Richard #1,4456419.2700000005,2.257661380006131
Richardson #1,2801810.56,2.512395360536328
Rio Nueces #1,2745646.89,0
Ronald #1,778472.74,0.7107399863028633
Russell #1,4201233.54,0.3371304593448316
Ruth #1,2377360.42,2.8388780908191618
Ruthpick #1,3765444.81,1.3817110422772583
Sansom #1,3757218.51,0.3921276886717321
Solansky #1,3972445.6,1.0030398161074443
Strait #1,73127.45000000001,0
Sugarland #1,2822483.12,1.1964742595451072
Tebo #1,4007941.2800000003,0.08538396358142371
Teel #1,614073.4099999999,1.3670102180199148
Thalmann #1,2184866.05,1.6517037607835194
Thompson #1,3357334.94,4.025073129179643
Thompson #2,3501510.88,1.9694520281929384
Thompson TAP,3955.67,0
Thuss #1,2229920.49,0.3135259967719154
Tlapek #1,3109254.17,0.7665996430276862
Tortuga Ranch #1,72929,0.4680845070374298
Triple J #1,2235890.04,0.6080334596965069
Triple J #2,3363137.1,0.685162492981591
Triplitt Unit #1,1744891.0999999999,0.3428681209730189
Trotter #1,2176272.16,1.3156165798608175
VRE Minerals #1,4755627.300000001,0.17105838455876538
Vermillion #1,4043106.29,0.3204650000478828
Verna #1,2223883.83,1.9285112093556989
Wagner Farms #1,3113813.18,0.39256190287418136
Well Name,Completion Total,% Payout
Well Name,Completion Total,% Payout
Well Name,Completion Total,% Payout
Well Name,Completion Total,% Payout
White Marlin #1,3579595.25,0.021798472570923197
Whittington #1,3042963.85,0.27201161156127723
Woodward #1,3034497.69,0.07292079407300613
