Well Name,Formation,API14,Well  Number,EUR,Oil [MBO],Gas [MMCF],Aug Oil [BBLS],Aug Gas [MCF],Date,Active
PARKWAY #1,GEORGETOWN,4250733281.0,3855.011,,482.9,726.0,1285.9,57.0,2017-02-07,True
PC #1,BUDA,4250733207.0,3855.001,,92.2,342.0,307.8,815.0,2015-08-05,True
PECAN GROVE #1,GEORGETOWN,4250733282.0,3855.009,,40.8,244.0,,,2017-05-30,False
PFEIFFER #1,AC + BUDA,4250733023.0,4035.003,,38.0,27.0,176.5,0.0,2013-11-13,True
PICKENS #1,AUSTIN CHALK,4250732783.0,9450.002,,175.8,118.0,320.7,7.0,2011-05-13,True
PICKENS RANCH #2H,,4250732472.0,4025.003,,1.0,0.0,,,2012-05-30,False
PICKWILL #1,AUSTIN CHALK,4250732918.0,9450.008,,254.2,114.0,215.5,334.0,2012-10-18,True
PRESTON #1,BUDA,4250733251.0,3855.004,,32.6,319.0,48.3,0.0,2016-01-06,True
PRITCHETT #1,,4250732838.0,3850.019,,0.2,75.0,,,2013-02-22,False
RAB #1,GEORGETOWN,4250733427.0,8045.006,,84.5,165.0,1592.9,1432.0,2021-09-07,True
RAB #2,GEORGETOWN,4247944597.0,8045.007,,107.9,141.0,3268.0,6515.0,2022-08-01,True
RAB #3,GEORGETOWN,4212738474.0,8045.008,,93.7,339.0,2272.9,16124.0,2022-08-01,True
RHODES #1,GEORGETOWN,4250733279.0,7125.002,,25.8,14.0,0.0,0.0,2017-02-02,False
RICHARD #1,BUDA,4250733226.0,4035.005,,351.9,909.0,766.0,4371.0,2015-04-30,True
RICHARDSON #1,AUSTIN CHALK,4212734253.0,8650.008,,203.2,59.0,1034.1,502.0,2011-11-02,True
RIO NUECES #1,,4250732942.0,3850.022,,0.0,0.0,,,2013-07-05,False
RONALD #1,SAN MIGUEL,4250733007.0,9450.011,,24.1,0.0,251.0,0.0,2013-07-19,True
RUSSELL #1,BUDA,4212736861.0,9555.004,,20.1,608.0,0.0,1365.0,2015-02-20,True
RUTH #1,AUSTIN CHALK,4212733816.0,8650.007,,194.6,103.0,191.2,0.0,2011-03-04,True
RUTHPICK #1,BUDA,4250733172.0,9455.004,,169.3,433.0,427.2,2954.0,2015-03-01,True
SANSOM #1,BUDA,4212738610.0,8925.008,,15.3,334.0,747.5,31565.0,2022-10-09,True
SOLANSKY #1,AUSTIN CHALK,4250732815.0,1825.002,,96.1,8.0,283.6,0.0,2011-10-31,True
SUGARLAND #1,AUSTIN CHALK,4212733632.0,8650.004,,86.5,66.0,111.6,0.0,2009-12-13,True
TEBO #1,,4212733747.0,,,5.6,1.0,,,2011-03-31,False
THALMANN #1,AUSTIN CHALK,4212733751.0,8350.006,,82.3,423.0,137.2,0.0,2010-11-03,True
THOMPSON #2,AUSTIN CHALK,,3850.005,,214.4,162.0,183.2,0.0,2007-03-19,True
THUSS #1,BUDA,4250733387.0,3855.025,,11.7,74.0,37.3,2061.0,2020-06-09,True
TLAPEK #1,AUSTIN CHALK,4250732726.0,3850.012,,55.1,3.0,14.6,0.0,2008-09-01,True
