well,id,run_ticket_number,date,date_string,updated_at,type,total
Cenizo #1,1967407.0,14180,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,WATER,120.0
Cenizo #1,1966320.0,13976,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,WATER,130.0
Cenizo #1,1963911.0,14997,1703484000.0,2023-12-25,1970-01-01 00:00:01.703484000,WATER,120.0
Cenizo #1,1963912.0,2908081,1703484000.0,2023-12-25,1970-01-01 00:00:01.703484000,OIL,193.0
Cenizo #1,1959548.0,2897851,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,OIL,180.0
Cenizo #1,1958453.0,2886651,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,OIL,190.0
Cenizo #1,1956061.0,14267,1702792800.0,2023-12-17,1970-01-01 00:00:01.702792800,WATER,120.0
Cenizo #1,1954187.0,2882141,1702706400.0,2023-12-16,1970-01-01 00:00:01.702706400,OIL,184.0
Cenizo #1,1952516.0,2877311,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,188.0
Cenizo #1,1951334.0,014888,1702447200.0,2023-12-13,1970-01-01 00:00:01.702447200,WATER,120.0
Cenizo #1,1948521.0,14881,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,WATER,120.0
Cenizo #1,1945588.0,6691,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,WATER,130.0
Chad #1,1974643.0,013764,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,WATER,130.0
Chad #1,1971300.0,014196,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,130.0
Chad #1,1968299.0,013993,1703916000.0,2023-12-30,1970-01-01 00:00:01.703916000,WATER,130.0
Chad #1,1957215.0,014277,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,WATER,130.0
Chad #1,1950085.0,,1702360800.0,2023-12-12,1970-01-01 00:00:01.702360800,OIL,15.03
Chad #1,1950086.0,014286,1702360800.0,2023-12-12,1970-01-01 00:00:01.702360800,WATER,120.0
Chad #1,1946781.0,2859821,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,OIL,179.0
Chad #1,1946782.0,,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,OIL,80.16
Chad #1,1945723.0,2853611,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,183.0
Chad #1,1945724.0,,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,83.5
Charles B #1,1964900.0,2910161,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,OIL,191.2
Charles B #1,1950180.0,2865761,1702360800.0,2023-12-12,1970-01-01 00:00:01.702360800,OIL,193.2
Circle T #1,1973871.0,013762,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,WATER,130.0
Circle T #1,1966338.0,,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,56.75
Circle T #1,1966337.0,2913581,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,OIL,191.1
Circle T #1,1961539.0,2886661,1703224800.0,2023-12-22,1970-01-01 00:00:01.703224800,OIL,191.0
Cross S #1,1968304.0,2910211,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,190.0
Dale #1,1968131.0,2905901,1703916000.0,2023-12-30,1970-01-01 00:00:01.703916000,OIL,190.0
Dale #1,1961413.0,014290,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,WATER,100.0
Dial #1 ST,1945587.0,2856741,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,137.0
Drinkard #1,1973043.0,13166,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,WATER,120.0
Drinkard #1,1973040.0,,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,40.08
Drinkard #1,1973041.0,2932871,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,163.0
Drinkard #1,1973042.0,,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,40.08
Drinkard #1,1973044.0,2932871,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,163.0
Drinkard #1,1971414.0,,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,OIL,140.28
Drinkard #1,1971417.0,2929801,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,OIL,180.0
Drinkard #1,1971418.0,Blackgold,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,120.0
