,id,name,type,capacity,multiplier,created_at,updated_at
966,8330,CW 14 St 1 Water,WATER,500,2.75,1461077655,1747261108
967,7031,DA 1 Water 1,WATER,300,1.67,1449265662,1748345052
968,7035,DA 2 Water 1,WATER,300,1.67,1449265745,1748345052
969,5128,Dale Water,WATER,210,1.17,1440779668,1748379031
970,29863,Dale Water Remote,OIL,210,1.17,1604437343,1722972392
971,6870,Daniel 1 Oil 1,OIL/WATER,436,2.27,1449242130,1721764915
972,6871,Daniel 1 Oil 2,OIL/WATER,436,2.27,1449242131,1721764915
973,6872,Daniel 1 Oil 3,OIL/WATER,436,2.27,1449242137,1721764915
974,6873,Daniel 1 Water 1,WATER,300,1.67,1449242173,1721764915
975,18769,Davis Water,WATER,500,2.75,1546980483,1748375403
976,7090,Della Water 1,WATER,300,1.67,1449271409,1748345056
977,40560,Dial 1 ST Water,WATER,200,1.67,1673377164,1744840312
978,5062,Dial 1 Water,WATER,200,1.67,1440778328,1722974143
979,5157,Dillard Water,WATER,200,1.67,1440780123,1748375264
980,29900,Dillard Water Remote,WATER,200,1.67,1604610644,1722972392
981,45137,Dixondale Oil 1,OIL,400,1.67,1708709357,1748295451
982,45138,Dixondale Oil 2,OIL,400,1.67,1708709357,1748295451
983,45139,Dixondale Oil 3,OIL,400,1.67,1708709357,1748295451
984,45178,Dixondale Remote Oil,OIL/WATER,400,1.67,1709154272,1748379665
985,45141,Dixondale Water 1,WATER,400,1.67,1708709357,1748295451
986,7087,DO 1H Water,WATER,400,1.67,1449271317,1722974143
987,35688,Drinkard Oil 1,OIL,400,1.67,1643487902,1748295448
988,35689,Drinkard Oil 2,OIL,400,1.67,1643487902,1748295448
989,35690,Drinkard Oil 3,OIL,400,1.67,1643487902,1748295448
990,35691,Drinkard Oil 4,OIL,400,1.67,1643487902,1748295448
991,36053,Drinkard Remote Oil,OIL/WATER,400,1.67,1644530024,1734468635
992,36054,Drinkard Remote Wate,OIL/WATER,400,1.67,1644530024,1734468635
993,35692,Drinkard Water 1,WATER,400,1.67,1643487902,1748295447
