well,id,run_ticket_number,date,date_string,updated_at,type,total
CMWW #2,1954724,,1702792800,2023-12-17,1702792800,OIL,21.71
CMWW #2,1954718,,1702792800,2023-12-17,1702792800,OIL,21.71
CMWW #2,1954723,,1702792800,2023-12-17,1702792800,OIL,21.71
CMWW #2,1954722,2882191,1702706400,2023-12-16,1702706400,OIL,191.4
CMWW #2,1954165,,1702706400,2023-12-16,1702706400,OIL,18.37
CMWW #2,1954164,,1702706400,2023-12-16,1702706400,OIL,18.37
CMWW #2,1954167,,1702706400,2023-12-16,1702706400,OIL,18.37
CMWW #2,1954725,014958,1702706400,2023-12-16,1702706400,WATER,50.0
CMWW #2,1954163,2879511,1702620000,2023-12-15,1702620000,OIL,188.3
CMWW #2,1952223,,1702533600,2023-12-14,1702533600,OIL,18.37
CMWW #2,1952224,,1702533600,2023-12-14,1702533600,OIL,18.37
CMWW #2,1952225,,1702533600,2023-12-14,1702533600,OIL,18.37
CMWW #2,1953247,2877331,1702533600,2023-12-14,1702533600,OIL,191.0
CMWW #2,1952228,2875941,1702447200,2023-12-13,1702447200,OIL,186.0
CMWW #2,1951326,2871161,1702360800,2023-12-12,1702360800,OIL,167.0
CMWW #2,1950178,2868091,1702274400,2023-12-11,1702274400,OIL,157.0
CMWW #2,1948040,2868101,1702274400,2023-12-11,1702274400,OIL,190.4
CMWW #2,1948041,,1702274400,2023-12-11,1702274400,OIL,20.04
CMWW #2,1948037,,1702274400,2023-12-11,1702274400,OIL,20.04
CMWW #2,1948038,,1702274400,2023-12-11,1702274400,OIL,20.04
CMWW #2,1947076,2861551,1702188000,2023-12-10,1702188000,OIL,192.9
CMWW #2,1947078,,1702188000,2023-12-10,1702188000,OIL,118.57
CMWW #2,1947071,,1702188000,2023-12-10,1702188000,OIL,118.57
CMWW #2,1947072,,1702188000,2023-12-10,1702188000,OIL,118.57
CMWW #2,1946241,,1702101600,2023-12-09,1702101600,OIL,115.23
CMWW #2,1946234,,1702101600,2023-12-09,1702101600,OIL,115.23
CMWW #2,1946240,,1702101600,2023-12-09,1702101600,OIL,115.23
CMWW #2,1947077,014877,1702101600,2023-12-09,1702101600,WATER,40.0
CMWW #2,1946239,2859851,1702015200,2023-12-08,1702015200,OIL,190.4
CMWW #2,1946233,013480,1702015200,2023-12-08,1702015200,WATER,120.0
CMWW #2,1945266,2856731,1701928800,2023-12-07,1701928800,OIL,190.0
CMWW #2,1944012,,1701928800,2023-12-07,1701928800,OIL,31.73
CMWW #2,1944011,,1701928800,2023-12-07,1701928800,OIL,31.73
CMWW #2,1944008,,1701928800,2023-12-07,1701928800,OIL,31.73
CMWW #2,1944010,2853631,1701842400,2023-12-06,1701842400,OIL,185.8
CR #101,1968303,2917911,1703829600,2023-12-29,1703829600,OIL,192.0
CR #101,1952156,2868111,1702360800,2023-12-12,1702360800,OIL,192.2
