API14,Well Name
4215701238,"MOORE, J. M., ETAL #103"
4215701237,"MOORE, J. M., ETAL #102"
4215701236,"MOORE, J. M. ET AL #101"
4215701235,"MOORE, J. M. ET AL #100"
4215701234,"MOORE, J. M., ET AL #99"
4215701233,"MOORE, J. M. ETAL #98"
4215701228,"MOORE, J. M., ETAL #93"
4215701227,"MOORE, J. M., ETAL #92"
4215701225,"MOORE, J. M., ETAL #90"
4215701224,"MOORE, J. M., ETAL #89 C"
4215701222,"MOORE, J. M., ETAL #87"
4215701220,"MOORE, J. M., ETAL #85"
4215701219,"MOORE, J. M., ETAL #84"
4215701218,"MOORE, J. M. ET AL #83"
4215701216,"MOORE, J. M. ET AL #81"
4215701213,"MOORE, J. M., ET AL #78"
4215701212,"MOORE, J. M. ET AL #77"
4215701210,"MOORE, J. M. ET AL #75"
4215701208,"MOORE, J. M. ET AL #73"
4215701207,"MOORE, J. M., ET AL #72"
4215701205,"MOORE, J. M., ETAL #70"
4215701202,"MOORE, J. M., ET AL #67"
4215701195,"MOORE, J. M., ET AL #58"
4215701187,"MOORE, J. M. #49"
4215701178,"MOORE, J. M. ET AL #40"
4215701140,"MOORE, J. M., ETAL #2"
4214933111,RUETHER #1
4214932353,BAUMBACH #1
4214932352,KERN #2 H
4214932302,KERN #1
4214932130,A L #1
4212738789,CMWW #2
4212738781,CMWW #1
4212738760,LAMB #1
4212738646,JIC BUDA #1
4212738610,SANSOM #1
4212738566,BURNS RANCH 2 #1
4212738565,BURNS RANCH GT #1
4212738476,MARRS #1
4212738474,RAB 3 #1
4212738440,BALFOUR #1
4212738426,DRINKARD #1
4212738425,FATHEREE #1
4212738424,RAB 2 #1
4212738382,BMMP 3 #1
4212738370,JIC #1
4212738368,LOCHTE #1A
4212738367,LOCHTE #1
4212738366,VRE MINERALS #1GT
4212738363,BMMP #1
4212738347,FMMP #1
4212738338,CR #101
4212738331,CR #201
4212738157,CT #1
4212737316,VERMILLION #1
4212737314,CHARLES B #1
4212737308,WHITE MARLIN #1
4212737129,BARRIER #1
4212736972,BIG SONNY #1
4212736861,RUSSELL #1
4212736601,J.J. #1
4212736546,BLAS-REYES #1
4212736529,DILLARD #1
4212735917,JRED #1
4212735767,CLAYTON #1
4212735209,MONTEMAYOR #1
4212734506,DUNLAP #1
4212734287,CAZA #1
4212734253,RICHARDSON #1
4212733963,ELAINE #1
4212733816,RUTH #1
4212733811,LANSFORD #1
4212733788,BOND #1
4212733751,THALMANN #1
4212733747,TEBO #1
4212733727,GIL #1
4212733726,TROTTER #1
4212733688,BOX #1
4212733683,EVERGREEN #1
4212733675,BETTY #1
4212733663,VERNA #1
4212733651,OPA UNIT #1
4212733649,BERMUDA #1
4212733635,TRIPLITT UNIT #1H
4212733632,SUGARLAND #1
4212733623,MOLAK #1
4212733617,MORELAND #1
4212733606,FGP #1
4212733586,LA ROSITA #1
4212733583,STRAIT #1
4212733560,CIRCLE 'T' #1
4212733527,FLYING G #1
4212733434,BOWMAN #1
4212733292,CANNAN #1
4212732836,LITTLE 179 #1H
4210335946,EE '12' #1
4210335694,"EDWARDS ""12"" #1"
4210335664,BLAIR-TXL #6
4210335627,BLAIR - TXL B #5
4210335570,BLAIR-TXL #4
4210335490,BLAIR-TXL #3
4210335215,"BLAIR-TXL ""7"" #2"
4210335034,BLAIR - TXL #1
4205133758,OWEN #2
4205133757,OWEN #1H
4205133693,OWEN #1
4205133621,MARTIN #1
4204132649,URSO #1
4204132111,PETERS UNIT #7
4204132090,PETERS #6
4204131982,PETERS #5
4204131975,WILSON #1
4204131973,CALDWELL #1
4204131962,LLOYD #1
4204131956,FEATHER CREST FARMS #1
4204131955,MURPHEY-SMITH #1
4204131950,FRIDEL UNIT #1
4204131944,WARREN #H 1
4204131932,CARROLL UNIT #1
4204131926,MOSLEY #1
4204131905,WICKSON UNIT #1
4204131088,"ODOM, W.F. UNIT V #1"
4204131023,"BUCHANAN, R. UNIT 1 #1"
4204130388,"JONES, E.E. UNIT 1 #1"
4204130362,"PETERS, E.E.-A- #4"
4204130354,"PETERS, E.E.-A- #3"
4204130343,"PETERS, E.E.-A- #2"
4204130326,"PETERS, E.E.-A- #1"
4203332068,NEWTON 38 #1
4203332048,LLB 15 #1
4203332046,GUILLIAMS 22 #1
4203332041,LLB 21 #1
4203332006,NEWTON 28 #1
4203331999,BAIRD-NEWTON #1
4203331790,"KOONSMAN ""677"" #2"
4203331773,"KOONSMAN ""677"" #1"
4203331580,MULESHOE RANCH #1
4203331261,"PARKS ""677"" #1"
4203330785,HUDSON HORNETT #1
3002551529,IVY 4 STATE #1
3002544123,RAIDER 9 STATE #3
3002543874,RAIDER 9 STATE #2
3002543559,RAIDER 9 STATE #1
3002543431,TECH 16 STATE #1
3002543241,CAMERON 22 STATE #1
3002542978,AB PAD 10 STATE #1
3002542718,BEAMS 15 STATE #5
3002542511,PADDY 13 STATE #2
3002542177,BEAMS 15 STATE #4
3002541890,ABENAKI 10 STATE #3
3002541626,ABENAKI 10 STATE #2
3002541407,BEAMS 15 STATE #3
3002541365,HARRIS #1
3002541151,CW 14 STATE #1
3002540910,MARTIN 11 STATE #1
3002540728,PADDY 23 #1
3002540562,HENRY 24 #2
3002540561,PADDY 20 STATE #1
3002540400,WC 35 STATE #1
3002540392,BEAMS 15 STATE #2
3002540250,PADDY 15 STATE #3
3002540127,WINTHROP 24 STATE #1
3002540075,PADDY 15 STATE #2
3002539919,BEAMS 15 STATE #1
3002539886,PADDY 24 FEDERAL #2
3002539855,HENRY 24 #1
3002539737,ABENAKI 10 STATE #1
3002539603,PADDY 18 STATE #3
3002539492,PADDY 19 STATE #5
3002539366,PADDY 19 STATE #4
3002539246,PADDY 15 STATE #1
3002539005,PADDY 18 STATE #2
3002538790,JFC 25 STATE #1
3002538591,PADDY 19 STATE #3
3002538418,PADDY 19 STATE #2
3002538348,COOPER 24 FEDERAL COM #2
3002538277,AMBROSE 36 STATE COM #1
3002538228,PADDY 24 FEDERAL #002H
3002538227,PADDY 19 STATE #1
3002537944,PADDY 18 STATE #1
3002537841,COOPER 24 FEDERAL #1
3002537823,GEN MONTCALM 25 STATE #1
3002537567,BOUGAINVILLEA 33 STATE #1
3002537381,NORTH TWINBERRY 5 STATE #1
3002537378,PADDY 24 FEDERAL #1
3002537292,MUNRO 5 STATE #1
3002537291,NATHANIEL 29 STATE #1
3002536843,PADDY 13 STATE #1
3002536419,MOHICAN 28 STATE #1
3002536224,HEYWARD 32 STATE COM #1
3002534781,HAWKEYE 30 STATE #1
3002532508,TRIPLE A FEDERAL #3
3002528772,ROSE #2
